date,department,headcount,monthly_cost
2023-05-31,Finance,25,109831.29256535231
2023-06-30,Finance,25,109831.29256535231
2023-07-31,Finance,25,109831.29256535231
2023-08-31,Finance,25,109831.29256535231
2023-09-30,Finance,25,109831.29256535231
2023-10-31,Finance,25,109831.29256535231
2023-11-30,Finance,25,109831.29256535231
2023-12-31,Finance,25,109831.29256535231
2024-01-31,Finance,25,109831.29256535231
2024-02-29,Finance,25,109831.29256535231
2024-03-31,Finance,25,109831.29256535231
2024-04-30,Finance,25,109831.29256535231
2024-05-31,Finance,25,109831.29256535231
2024-06-30,Finance,25,109831.29256535231
2024-07-31,Finance,25,109831.29256535231
2024-08-31,Finance,25,109831.29256535231
2024-09-30,Finance,25,109831.29256535231
2024-10-31,Finance,25,109831.29256535231
2024-11-30,Finance,25,109831.29256535231
2024-12-31,Finance,25,109831.29256535231
2025-01-31,Finance,25,109831.29256535231
2025-02-28,Finance,25,109831.29256535231
2025-03-31,Finance,25,109831.29256535231
2025-04-30,Finance,25,109831.29256535231
2025-05-31,Finance,25,109831.29256535231
2025-06-30,Finance,25,109831.29256535231
2025-07-31,Finance,25,109831.29256535231
2025-08-31,Finance,25,109831.29256535231
2025-09-30,Finance,25,109831.29256535231
2025-10-31,Finance,25,109831.29256535231
2025-11-30,Finance,25,109831.29256535231
2025-12-31,Finance,25,109831.29256535231
2023-01-31,Investment,6,45193.389554214744
2023-02-28,Investment,6,45193.389554214744
2023-03-31,Investment,6,45193.389554214744
2023-04-30,Investment,6,45193.389554214744
2023-05-31,Investment,6,45193.389554214744
2023-06-30,Investment,6,45193.389554214744
2023-07-31,Investment,6,45193.389554214744
2023-08-31,Investment,6,45193.389554214744
2023-09-30,Investment,6,45193.389554214744
2023-10-31,Investment,6,45193.389554214744
2023-11-30,Investment,6,45193.389554214744
2023-12-31,Investment,6,45193.389554214744
2024-01-31,Investment,6,45193.389554214744
2024-02-29,Investment,6,45193.389554214744
2024-03-31,Investment,6,45193.389554214744
2024-04-30,Investment,6,45193.389554214744
2024-05-31,Investment,6,45193.389554214744
2024-06-30,Investment,6,45193.389554214744
2024-07-31,Investment,6,45193.389554214744
2024-08-31,Investment,6,45193.389554214744
2024-09-30,Investment,6,45193.389554214744
2024-10-31,Investment,6,45193.389554214744
2024-11-30,Investment,6,45193.389554214744
2024-12-31,Investment,6,45193.389554214744
2025-01-31,Investment,6,45193.389554214744
2025-02-28,Investment,6,45193.389554214744
2025-03-31,Investment,6,45193.389554214744
2025-04-30,Investment,6,45193.389554214744
2025-05-31,Investment,6,45193.389554214744
2025-06-30,Investment,6,45193.389554214744
2025-07-31,Investment,6,45193.389554214744
2025-08-31,Investment,6,45193.389554214744
2025-09-30,Investment,6,45193.389554214744
2025-10-31,Investment,6,45193.389554214744
2025-11-30,Investment,6,45193.389554214744
2025-12-31,Investment,6,45193.389554214744
